2026-07-10 12:19:51,219 | INFO | Exchange connection successful
2026-07-10 12:19:52,388 | INFO | Reading latest 5 emails
2026-07-10 12:20:15,853 | INFO | Attachment found in: post 
2026-07-10 12:20:15,853 | ERROR | Attachment saving failed: 'FileAttachment' object has no attribute 'save'
2026-07-10 12:20:15,855 | INFO | Email loaded: post 
2026-07-10 12:20:15,859 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:20:15,935 | INFO | Email loaded: FRiday
2026-07-10 12:20:15,940 | INFO | Attachment found in: email
2026-07-10 12:20:15,940 | ERROR | Attachment saving failed: 'FileAttachment' object has no attribute 'save'
2026-07-10 12:20:15,940 | INFO | Email loaded: email
2026-07-10 12:20:15,940 | INFO | Email loaded: gdhnss
2026-07-10 12:22:56,127 | INFO | Exchange connection successful
2026-07-10 12:22:57,192 | INFO | Reading latest 5 emails
2026-07-10 12:23:08,348 | INFO | Attachment found in: post 
2026-07-10 12:23:08,350 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:23:08,351 | INFO | Email loaded: post 
2026-07-10 12:23:08,351 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:23:08,404 | INFO | Email loaded: FRiday
2026-07-10 12:23:08,420 | INFO | Attachment found in: email
2026-07-10 12:23:08,421 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:23:08,422 | INFO | Email loaded: email
2026-07-10 12:23:08,427 | INFO | Email loaded: gdhnss
2026-07-10 12:23:08,432 | INFO | Reading latest 5 emails
2026-07-10 12:23:18,755 | INFO | Attachment found in: post 
2026-07-10 12:23:18,768 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:23:18,768 | INFO | Email loaded: post 
2026-07-10 12:23:18,768 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:23:18,859 | INFO | Email loaded: FRiday
2026-07-10 12:23:18,862 | INFO | Attachment found in: email
2026-07-10 12:23:18,863 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:23:18,863 | INFO | Email loaded: email
2026-07-10 12:23:18,866 | INFO | Email loaded: gdhnss
2026-07-10 12:23:18,870 | INFO | Reading latest 5 emails
2026-07-10 12:23:28,290 | INFO | Attachment found in: post 
2026-07-10 12:23:28,291 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:23:28,291 | INFO | Email loaded: post 
2026-07-10 12:23:28,292 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:23:28,334 | INFO | Email loaded: FRiday
2026-07-10 12:23:28,342 | INFO | Attachment found in: email
2026-07-10 12:23:28,342 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:23:28,342 | INFO | Email loaded: email
2026-07-10 12:23:28,342 | INFO | Email loaded: gdhnss
2026-07-10 12:23:28,349 | INFO | Reading latest 5 emails
2026-07-10 12:23:35,700 | INFO | Reading latest 5 emails
2026-07-10 12:23:40,091 | INFO | Attachment found in: post 
2026-07-10 12:23:40,098 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:23:40,106 | INFO | Email loaded: post 
2026-07-10 12:23:40,106 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:23:40,188 | INFO | Email loaded: FRiday
2026-07-10 12:23:40,196 | INFO | Attachment found in: email
2026-07-10 12:23:40,196 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:23:40,196 | INFO | Email loaded: email
2026-07-10 12:23:40,196 | INFO | Email loaded: gdhnss
2026-07-10 12:23:40,208 | INFO | Reading latest 5 emails
2026-07-10 12:23:46,114 | INFO | Reading latest 5 emails
2026-07-10 12:23:51,161 | INFO | Reading latest 5 emails
2026-07-10 12:23:52,518 | INFO | Attachment found in: post 
2026-07-10 12:23:52,543 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:23:52,543 | INFO | Email loaded: post 
2026-07-10 12:23:52,560 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:23:52,630 | INFO | Email loaded: FRiday
2026-07-10 12:23:52,636 | INFO | Attachment found in: email
2026-07-10 12:23:52,636 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:23:52,636 | INFO | Email loaded: email
2026-07-10 12:23:52,641 | INFO | Email loaded: gdhnss
2026-07-10 12:23:55,570 | INFO | Reading latest 5 emails
2026-07-10 12:24:00,681 | INFO | Reading latest 5 emails
2026-07-10 12:24:03,164 | INFO | Reading latest 5 emails
2026-07-10 12:24:03,362 | INFO | Attachment found in: post 
2026-07-10 12:24:03,362 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:24:03,362 | INFO | Email loaded: post 
2026-07-10 12:24:03,362 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:24:03,442 | INFO | Email loaded: FRiday
2026-07-10 12:24:03,446 | INFO | Attachment found in: email
2026-07-10 12:24:03,446 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:24:03,448 | INFO | Email loaded: email
2026-07-10 12:24:03,451 | INFO | Email loaded: gdhnss
2026-07-10 12:24:03,456 | INFO | Reading latest 5 emails
2026-07-10 12:24:10,036 | INFO | Attachment found in: post 
2026-07-10 12:24:10,036 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:24:10,036 | INFO | Email loaded: post 
2026-07-10 12:24:10,039 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:24:10,060 | INFO | Email loaded: FRiday
2026-07-10 12:24:10,068 | INFO | Attachment found in: email
2026-07-10 12:24:10,068 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:24:10,071 | INFO | Email loaded: email
2026-07-10 12:24:10,071 | INFO | Email loaded: gdhnss
2026-07-10 12:24:10,572 | INFO | Reading latest 5 emails
2026-07-10 12:24:18,806 | INFO | Attachment found in: post 
2026-07-10 12:24:18,818 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:24:18,822 | INFO | Email loaded: post 
2026-07-10 12:24:18,830 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:24:18,907 | INFO | Email loaded: FRiday
2026-07-10 12:24:18,911 | INFO | Attachment found in: email
2026-07-10 12:24:18,921 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:24:18,935 | INFO | Email loaded: email
2026-07-10 12:24:18,941 | INFO | Email loaded: gdhnss
2026-07-10 12:24:18,941 | INFO | Reading latest 5 emails
2026-07-10 12:24:28,470 | INFO | Attachment found in: post 
2026-07-10 12:24:28,472 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:24:28,472 | INFO | Email loaded: post 
2026-07-10 12:24:28,474 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:24:28,507 | INFO | Email loaded: FRiday
2026-07-10 12:24:28,520 | INFO | Attachment found in: email
2026-07-10 12:24:28,520 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:24:28,520 | INFO | Email loaded: email
2026-07-10 12:24:28,522 | INFO | Email loaded: gdhnss
2026-07-10 12:24:28,525 | INFO | Reading latest 5 emails
2026-07-10 12:24:36,030 | INFO | Attachment found in: post 
2026-07-10 12:24:36,030 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:24:36,030 | INFO | Email loaded: post 
2026-07-10 12:24:36,040 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:24:36,090 | INFO | Email loaded: FRiday
